SKU,gramos/ml,nombre,categoria_general,categoria,precio,ingrediente_clave,país,url,categoria_normalizada,categoria_original
64283,150,Ulei de duș - Struguri RoșiiAdaugă la .,Ducha y Baño,Aceite de Ducha,29.9,Uvas Rojas,Rumania,https://nala.ro/products/ulei-dus-struguri-rosii,Aceite de Ducha,Crema de Baño
64203,50,Bombă Baie Hidratantă - CăpșuniAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Fresa,Rumania,https://nala.ro/products/bomba-baie-hidratanta-capsuni,Bomba de Baño,Bomba de Baño
64202,125,Bomba Baie Efervescentă - Cafea & BananăAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Café y Plátano,Rumania,https://nala.ro/products/sare-baie-efervescenta-cafea-banana,Bomba de Baño,Espuma de Baño
64201,125,Bombă Baie Efervescentă - Caramel & VanilieAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Caramelo y Vainilla,Rumania,https://nala.ro/products/bomba-baie-efervescenta-caramel-vanilie,Bomba de Baño,Jabon de manos
64200,125,Bomba Baie Efervescentă - Zmeură & VanilieAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Vainilla,Rumania,https://nala.ro/products/sare-baie-efervescenta-zmeura-vanilie,Bomba de Baño,Jabon Natural
30794,125,Bombă Baie Efervescentă - PapayaAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Papaya,Rumania,https://nala.ro/products/bomba-baie-efervescenta-papaya,Bomba de Baño,Jabon Natural
30784,125,Bombă Baie Efervescentă - CafeaAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Cafe,Rumania,https://nala.ro/products/bomba-baie-efervescenta-cafea,Bomba de Baño,Crema de Baño
30755,100,Săpun Natural - PortocalăAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Naranja,Rumania,https://nala.ro/products/sapun-natural-portocala,Jabón Natural,Bomba de Baño
30754,100,Săpun Natural - MangoAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Mango,Rumania,https://nala.ro/products/sapun-natural-mango,Jabón Natural,Bomba de Baño
30752,100,Săpun Natural - LămâieAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Limón,Rumania,https://nala.ro/products/sapun-natural-lamaie,Jabón Natural,Bomba de Baño
30748,100,Săpun Anticelulitic Natural - GrapefruitAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Pomelo,Rumania,https://nala.ro/products/sapun-natural-grapefruit,Jabón Natural,Bomba de Baño
30745,100,Săpun Natural - Nucă de CocosAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Coco,Rumania,https://nala.ro/products/sapun-natural-nuca-de-cocos,Jabón Natural,Gel de Ducha
30741,100,Săpun Natural - Afine & MureAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Arandanos,Rumania,https://nala.ro/products/sapun-natural-afine-mure,Jabón Natural,Gel de Ducha
30735,100,Săpun Natural - AnticeluliticAdaugă la .,Ducha y Baño,Jabon Natural,15.9,Semillas de mostaza,Rumania,https://nala.ro/products/sapun-natural-anticelulitic,Jabón Natural,Gel de Ducha
30732,125,Bombă Baie Efervescentă - GrapefruitAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Pomelo,Rumania,https://nala.ro/products/bomba-baie-efervescenta-grapefruit,Bomba de Baño,Jabon Natural
30731,125,Bombă Baie Efervescentă - MangoAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Mango,Rumania,https://nala.ro/products/bomba-baie-efervescenta-mango,Bomba de Baño,Jabon Natural
30730,125,Bombă Baie Efervescentă - CăpșuniAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Fresa,Rumania,https://nala.ro/products/bomba-baie-efervescenta-capsuni,Bomba de Baño,Gel de Ducha
30729,125,Bombă Baie Efervescentă - FreshAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Fresco,Rumania,https://nala.ro/products/bomba-baie-efervescenta-fresh,Bomba de Baño,Gel de Ducha
30724,125,Bombă Baie Efervescentă - Trandafiri & VanilieAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Rosas,Rumania,https://nala.ro/products/bomba-baie-efervescenta-trandafiri-vanilie,Bomba de Baño,Aceite de Ducha
30723,125,Bombă Baie Efervescentă - RodieAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Granada,Rumania,https://nala.ro/products/bomba-baie-efervescenta-rodie,Bomba de Baño,Aceite de Ducha
30722,50,Bombă Baie Hidratantă - CafeaAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Cafe,Rumania,https://nala.ro/products/bomba-baie-hidratanta-cafea,Bomba de Baño,Crema de Baño
30721,50,Bombă Baie Hidratantă - TrandafiriAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Rosas,Rumania,https://nala.ro/products/bomba-baie-hidratanta-trandafiri,Bomba de Baño,Bomba de Baño
30720,50,Bombă Baie Hidratantă - Struguri roșiiAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Uvas Rojas,Rumania,https://nala.ro/products/bomba-baie-hidratanta-struguri-rosii,Bomba de Baño,Bomba de Baño
30719,50,Bombă Baie Hidratantă - LămâițăAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Limoncillo,Rumania,https://nala.ro/products/bomba-baie-hidratanta-lamaita,Bomba de Baño,Bomba de Baño
30718,50,Bombă Baie Hidratantă - LavandăAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Lavanda,Rumania,https://nala.ro/products/bomba-baie-hidratanta-lavanda,Bomba de Baño,Bomba de Baño
